__v,_id,abbreviation,branch,createdAt,faculty,title,type,updatedAt,year
0,63e1fc62448c1c8c21994226,DSA,63e0a3aee4583cad8f40a333,2023-02-07T07:23:14.937Z,63f445b52c998da83810483a,Data Structures and Algorithms,Theory,2023-02-07T07:23:14.937Z,SE
0,63e64f404bfd0ac92331099f,CGL,63e0a3aee4583cad8f40a333,2023-02-10T14:05:52.632Z,,Computer Graphics Lab,Practical,2023-02-10T14:05:52.632Z,SE
0,63e9e303d7eaee096fed4ff5,HPC,63e0a3aee4583cad8f40a333,2023-02-13T07:13:07.813Z,63f445a82c998da838104835,High Performance Computing,Theory,2023-02-13T07:13:07.813Z,BE
0,63e9e30fd7eaee096fed4ffa,DL,63e0a3aee4583cad8f40a333,2023-02-13T07:13:19.844Z,63f445302c998da838104830,Deep Learning,Theory,2023-02-13T07:13:19.844Z,BE
0,63e9e347d7eaee096fed4fff,SDN,63e0a3aee4583cad8f40a333,2023-02-13T07:14:15.839Z,63f445e62c998da83810483f,Software Defined Networks,Theory,2023-02-13T07:14:15.839Z,BE
0,63e9e367d7eaee096fed5004,BI,63e0a3aee4583cad8f40a333,2023-02-13T07:14:47.940Z,63f445b52c998da83810483a,Business Intelligence,Theory,2023-02-13T07:14:47.940Z,BE
0,63e9e37cd7eaee096fed5009,LP-V,63e0a3aee4583cad8f40a333,2023-02-13T07:15:08.775Z,,Laboratory Practice - V,Practical,2023-02-13T07:15:08.775Z,BE
0,63e9e383d7eaee096fed500e,LP-VI,63e0a3aee4583cad8f40a333,2023-02-13T07:15:15.199Z,,Laboratory Practice - VI,Practical,2023-02-13T07:15:15.199Z,BE
0,63e9e39ad7eaee096fed5013,PRJ-II,63e0a3aee4583cad8f40a333,2023-02-13T07:15:38.019Z,,Project Work Stage - II,Practical,2023-02-13T07:15:38.019Z,BE
0,63e9e3a7d7eaee096fed5018,PRJ-I,63e0a3aee4583cad8f40a333,2023-02-13T07:15:51.164Z,,Project Work Stage - I,Practical,2023-02-13T07:15:51.164Z,BE